genome	size
RNODE_160_length_1746_cov_3.90255.fasta	17240
RNODE_161_length_2494_cov_2.64806.fasta	24720
RNODE_162_length_1832_cov_1.88784.fasta	18100
RNODE_163_length_2924_cov_26.52619.fasta	29020
RNODE_164_length_3484_cov_4.58781.fasta	34620
RNODE_165_length_1669_cov_2.37887.fasta	16470
RNODE_167_length_15660_cov_7.41802.fasta	156380
RNODE_168_length_1728_cov_6.59379.fasta	17060
RNODE_169_length_2014_cov_4.86797.fasta	19920
RNODE_16_length_2729_cov_73.58182.fasta	27070
RNODE_170_length_2572_cov_18.40510.fasta	25500
RNODE_172_length_2223_cov_6.95729.fasta	22010
RNODE_174_length_2429_cov_2.88035.fasta	24070
RNODE_175_length_2761_cov_19.02118.fasta	27390
RNODE_176_length_1549_cov_36.55206.fasta	15270
RNODE_177_length_3051_cov_8.18455.fasta	30290
RNODE_178_length_3618_cov_3.32119.fasta	35960
RNODE_179_length_3165_cov_11.18263.fasta	31430
RNODE_181_length_5163_cov_13.91578.fasta	51410
RNODE_182_length_2608_cov_41.99343.fasta	25860
RNODE_183_length_2196_cov_14.40984.fasta	21740
RNODE_184_length_2456_cov_5.89523.fasta	24340
RNODE_185_length_1556_cov_2.93481.fasta	15340
RNODE_186_length_2504_cov_28.93916.fasta	24820
RNODE_187_length_2669_cov_7.35323.fasta	26470
RNODE_188_length_3578_cov_152.10292.fasta	35560
RNODE_189_length_1548_cov_4.91153.fasta	15260
RNODE_190_length_2372_cov_3.90340.fasta	23500
RNODE_191_length_4523_cov_9.06065.fasta	45010
RNODE_192_length_7636_cov_18.62687.fasta	76140
RNODE_194_length_1274_cov_1.74441.fasta	12520
RNODE_195_length_1761_cov_3.04140.fasta	17390
RNODE_196_length_1935_cov_38.48772.fasta	19130
RNODE_197_length_5069_cov_3.76758.fasta	50470
RNODE_198_length_2135_cov_8.85376.fasta	21130
RNODE_199_length_3758_cov_10.79550.fasta	37360
RNODE_19_length_30312_cov_10.20690.fasta	302900
RNODE_1_length_6898_cov_7.60442.fasta	68760
RNODE_201_length_2438_cov_4.66846.fasta	24160
RNODE_202_length_2300_cov_3.80773.fasta	22780
RNODE_203_length_1708_cov_4.32029.fasta	16860
RNODE_204_length_1584_cov_1.63444.fasta	15620
RNODE_206_length_1596_cov_53.17090.fasta	15740
RNODE_208_length_1614_cov_5.26633.fasta	15920
RNODE_209_length_3433_cov_79.37027.fasta	34110
RNODE_20_length_3323_cov_4.22024.fasta	33010
RNODE_210_length_2651_cov_13.95131.fasta	26290
RNODE_211_length_1756_cov_5.39677.fasta	17340
RNODE_212_length_4097_cov_3.86528.fasta	40750
RNODE_213_length_2939_cov_7.79705.fasta	29170
RNODE_214_length_1765_cov_3.24842.fasta	17430
RNODE_215_length_3095_cov_6.61373.fasta	30730
RNODE_216_length_15421_cov_6.49724.fasta	153990
RNODE_217_length_2598_cov_4.83502.fasta	25760
RNODE_219_length_1344_cov_3.84720.fasta	13220
RNODE_21_length_1619_cov_4.64433.fasta	15970
RNODE_221_length_2696_cov_7.95138.fasta	26740
RNODE_222_length_1915_cov_3.09562.fasta	18930
RNODE_223_length_2107_cov_5.74724.fasta	20850
RNODE_226_length_3315_cov_75.69511.fasta	32930
RNODE_22_length_7302_cov_3.23613.fasta	72800
RNODE_230_length_2858_cov_5.31312.fasta	28360
RNODE_231_length_5311_cov_4.30176.fasta	52890
RNODE_232_length_21840_cov_9.43432.fasta	218180
RNODE_233_length_1740_cov_3.83120.fasta	17180
RNODE_236_length_2297_cov_5.75912.fasta	22750
RNODE_237_length_4009_cov_52.34788.fasta	39870
RNODE_238_length_3219_cov_2.87332.fasta	31970
RNODE_239_length_2392_cov_75.72363.fasta	23700
RNODE_23_length_1998_cov_572.28391.fasta	19760
RNODE_240_length_12811_cov_7.14481.fasta	127890
RNODE_241_length_10461_cov_3.82000.fasta	104390
RNODE_242_length_3657_cov_7.66465.fasta	36350
RNODE_244_length_5333_cov_28.75937.fasta	53110
RNODE_245_length_4357_cov_37.67935.fasta	43350
RNODE_246_length_2482_cov_3.42358.fasta	24600
RNODE_247_length_8256_cov_14.85123.fasta	82340
RNODE_249_length_1595_cov_4.08837.fasta	15730
RNODE_250_length_5534_cov_8.34289.fasta	55120
RNODE_252_length_2412_cov_8.03222.fasta	23900
RNODE_253_length_4934_cov_14.39047.fasta	49120
RNODE_255_length_1540_cov_6.64690.fasta	15180
RNODE_256_length_3265_cov_29.43355.fasta	32430
RNODE_257_length_1602_cov_16.93671.fasta	15800
RNODE_260_length_1690_cov_3.39508.fasta	16680
RNODE_261_length_5536_cov_4.10881.fasta	55140
RNODE_262_length_4000_cov_14.35495.fasta	39780
RNODE_264_length_2217_cov_3.64237.fasta	21950
RNODE_267_length_1450_cov_3.70798.fasta	14280
RNODE_268_length_9216_cov_4.69600.fasta	91940
RNODE_269_length_3926_cov_5.29021.fasta	39040
RNODE_26_length_2149_cov_3.97038.fasta	21270
RNODE_270_length_5234_cov_7.75671.fasta	52120
RNODE_271_length_3998_cov_11.67404.fasta	39760
RNODE_272_length_2015_cov_5.10035.fasta	19930
RNODE_273_length_1300_cov_2.30673.fasta	12780
RNODE_274_length_1504_cov_11.90756.fasta	14820
RNODE_275_length_3412_cov_8.48584.fasta	33900
RNODE_276_length_1745_cov_5.73070.fasta	17230
RNODE_278_length_7999_cov_5.67456.fasta	79770
RNODE_27_length_9272_cov_4.89762.fasta	92500
RNODE_280_length_5088_cov_4.43328.fasta	50660
RNODE_281_length_3634_cov_4.76523.fasta	36120
RNODE_282_length_2526_cov_38.05351.fasta	25040
RNODE_284_length_8760_cov_7.25395.fasta	87380
RNODE_285_length_1358_cov_4.40719.fasta	13360
RNODE_286_length_1588_cov_4.62324.fasta	15660
RNODE_287_length_2601_cov_28.03218.fasta	25790
RNODE_288_length_3164_cov_59.95449.fasta	31420
RNODE_289_length_4454_cov_4.54626.fasta	44320
RNODE_28_length_2156_cov_6.27835.fasta	21340
RNODE_292_length_1675_cov_7.61464.fasta	16530
RNODE_293_length_11038_cov_5.01480.fasta	110160
RNODE_295_length_10931_cov_11.99890.fasta	109090
RNODE_296_length_1799_cov_6.54699.fasta	17770
RNODE_297_length_1810_cov_21.16499.fasta	17880
RNODE_298_length_4113_cov_5.23857.fasta	40910
RNODE_299_length_1525_cov_5.32402.fasta	15030
RNODE_29_length_2138_cov_51.39745.fasta	21160
RNODE_2_length_1508_cov_3.94751.fasta	14860
RNODE_300_length_4019_cov_4.97498.fasta	39970
RNODE_301_length_8746_cov_4.36474.fasta	87240
RNODE_302_length_1793_cov_4.21739.fasta	17710
RNODE_303_length_2852_cov_2.02615.fasta	28300
RNODE_304_length_2403_cov_7.18396.fasta	23810
RNODE_305_length_1545_cov_4.08273.fasta	15230
RNODE_306_length_4235_cov_12.16734.fasta	42130
RNODE_30_length_2201_cov_7.76228.fasta	21790
RNODE_310_length_7241_cov_7.51586.fasta	72190
RNODE_312_length_1648_cov_2.63653.fasta	16260
RNODE_313_length_7631_cov_9.92207.fasta	76090
RNODE_316_length_1479_cov_156.07138.fasta	14570
RNODE_317_length_2062_cov_4.66471.fasta	20400
RNODE_319_length_1321_cov_2.32409.fasta	12990
RNODE_321_length_5296_cov_10.18297.fasta	52740
RNODE_325_length_1939_cov_27.67762.fasta	19170
RNODE_326_length_1765_cov_55.82043.fasta	17430
RNODE_327_length_1948_cov_35.31308.fasta	19260
RNODE_328_length_1676_cov_7.54655.fasta	16540
RNODE_329_length_4403_cov_3.14905.fasta	43810
RNODE_330_length_1588_cov_2.46424.fasta	15660
RNODE_331_length_2739_cov_8.16194.fasta	27170
RNODE_332_length_1624_cov_3.94382.fasta	16020
RNODE_333_length_29512_cov_5.09183.fasta	294900
RNODE_334_length_1555_cov_5.92107.fasta	15330
RNODE_335_length_1478_cov_2.76786.fasta	14560
RNODE_340_length_1678_cov_17.80556.fasta	16560
RNODE_344_length_2191_cov_2.64592.fasta	21690
RNODE_345_length_2889_cov_34.12033.fasta	28670
RNODE_347_length_5424_cov_5.89171.fasta	54020
RNODE_348_length_2291_cov_3.76025.fasta	22690
RNODE_349_length_1558_cov_4.95117.fasta	15360
RNODE_34_length_5214_cov_5.85112.fasta	51920
RNODE_351_length_2392_cov_6.50928.fasta	23700
RNODE_352_length_10296_cov_22.51324.fasta	102740
RNODE_353_length_1966_cov_4.24691.fasta	19440
RNODE_354_length_3591_cov_3.85010.fasta	35690
RNODE_356_length_2244_cov_4.44644.fasta	22220
RNODE_357_length_1732_cov_5.71053.fasta	17100
RNODE_358_length_1590_cov_1.68367.fasta	15680
RNODE_35_length_2870_cov_3.96032.fasta	28480
RNODE_363_length_5653_cov_18.32623.fasta	56310
RNODE_365_length_1432_cov_3.86525.fasta	14100
RNODE_369_length_4633_cov_7.61375.fasta	46110
RNODE_370_length_1832_cov_7.75801.fasta	18100
RNODE_371_length_3091_cov_4.47833.fasta	30690
RNODE_373_length_1497_cov_5.24000.fasta	14750
RNODE_375_length_2518_cov_4.10497.fasta	24960
RNODE_376_length_2653_cov_7.05093.fasta	26310
RNODE_377_length_2313_cov_34.45308.fasta	22910
RNODE_378_length_1492_cov_8.56599.fasta	14700
RNODE_379_length_1435_cov_1.62350.fasta	14130
RNODE_37_length_1566_cov_13.53497.fasta	15440
RNODE_380_length_3873_cov_34.07037.fasta	38510
RNODE_382_length_1274_cov_6.08626.fasta	12520
RNODE_384_length_4213_cov_12.53305.fasta	41910
RNODE_385_length_2039_cov_10.22707.fasta	20170
RNODE_387_length_2321_cov_4.37973.fasta	22990
RNODE_388_length_2936_cov_27.70796.fasta	29140
RNODE_389_length_1545_cov_18.59160.fasta	15230
RNODE_391_length_2002_cov_3.45556.fasta	19800
RNODE_395_length_1428_cov_3.92319.fasta	14060
RNODE_397_length_1629_cov_18.92533.fasta	16070
RNODE_398_length_3296_cov_5.67929.fasta	32740
RNODE_399_length_2276_cov_6.18101.fasta	22540
RNODE_39_length_2309_cov_8.39790.fasta	22870
RNODE_3_length_2132_cov_9.73460.fasta	21100
RNODE_401_length_5038_cov_52.89115.fasta	50160
RNODE_402_length_1846_cov_2.27906.fasta	18240
RNODE_403_length_4059_cov_880.62621.fasta	40370
RNODE_405_length_1632_cov_8.96149.fasta	16100
RNODE_406_length_2395_cov_90.64012.fasta	23730
RNODE_409_length_1368_cov_5.05646.fasta	13460
RNODE_410_length_2558_cov_5.74172.fasta	25360
RNODE_412_length_3243_cov_51.13691.fasta	32210
RNODE_413_length_3069_cov_3.80768.fasta	30470
RNODE_414_length_1523_cov_18.59893.fasta	15010
RNODE_416_length_1581_cov_3.82938.fasta	15590
RNODE_419_length_1879_cov_8.64082.fasta	18570
RNODE_41_length_1982_cov_209.61480.fasta	19600
RNODE_421_length_4705_cov_4.03310.fasta	46830
RNODE_422_length_2556_cov_6.56672.fasta	25120
RNODE_424_length_1604_cov_9.07185.fasta	15380
RNODE_425_length_1554_cov_17.16795.fasta	15100
RNODE_426_length_2252_cov_11.50083.fasta	22080
RNODE_427_length_9830_cov_4.30470.fasta	97860
RNODE_42_length_6009_cov_12.62369.fasta	59870
RNODE_430_length_8758_cov_13.30595.fasta	86260
RNODE_433_length_2054_cov_26.46352.fasta	20100
RNODE_437_length_3085_cov_98.66641.fasta	30410
RNODE_438_length_14517_cov_4.70775.fasta	144730
RNODE_43_length_1562_cov_5.51818.fasta	15400
RNODE_441_length_2686_cov_18.21714.fasta	25980
RNODE_445_length_2035_cov_5.02735.fasta	19910
RNODE_446_length_1542_cov_16.88168.fasta	14760
RNODE_447_length_1716_cov_15.11213.fasta	16720
RNODE_448_length_1719_cov_7.88578.fasta	16750
RNODE_449_length_3981_cov_10.04107.fasta	38930
RNODE_44_length_6101_cov_2.97384.fasta	60790
RNODE_450_length_11970_cov_105.70786.fasta	118160
RNODE_452_length_1435_cov_89.39445.fasta	13690
RNODE_453_length_1486_cov_93.02213.fasta	14200
RNODE_454_length_3059_cov_7.56632.fasta	29710
RNODE_457_length_1464_cov_36.37055.fasta	14200
RNODE_458_length_1682_cov_17.95957.fasta	16160
RNODE_45_length_2213_cov_3.74441.fasta	21910
RNODE_460_length_2629_cov_18.40010.fasta	25850
RNODE_461_length_26656_cov_11.43708.fasta	266120
RNODE_463_length_2242_cov_48.39465.fasta	21540
RNODE_465_length_2281_cov_5.29996.fasta	22370
RNODE_466_length_2414_cov_22.47806.fasta	23480
RNODE_467_length_4285_cov_163.04211.fasta	41750
RNODE_469_length_3055_cov_6.28858.fasta	29890
RNODE_46_length_1611_cov_3.70422.fasta	15890
RNODE_471_length_2314_cov_27.32580.fasta	22480
RNODE_472_length_3177_cov_4.87929.fasta	30890
RNODE_473_length_2154_cov_104.90849.fasta	20660
RNODE_475_length_9205_cov_9.11194.fasta	91170
RNODE_477_length_5419_cov_20.61131.fasta	53530
RNODE_478_length_1307_cov_169.80266.fasta	12630
RNODE_47_length_2124_cov_4.45100.fasta	21020
RNODE_480_length_1461_cov_9.87912.fasta	14170
RNODE_482_length_12608_cov_5.40546.fasta	125640
RNODE_483_length_2623_cov_9.08778.fasta	25570
RNODE_484_length_2351_cov_3.78450.fasta	23070
RNODE_486_length_2116_cov_5.68150.fasta	20280
RNODE_488_length_20029_cov_34.82594.fasta	199850
RNODE_489_length_2151_cov_58.40979.fasta	21070
RNODE_490_length_2089_cov_29.26998.fasta	20450
RNODE_492_length_1548_cov_6.84136.fasta	15040
RNODE_494_length_2579_cov_7.85352.fasta	25130
RNODE_495_length_2750_cov_9.86766.fasta	27060
RNODE_499_length_5376_cov_7.50141.fasta	53320
RNODE_49_length_2149_cov_5.34556.fasta	21270
RNODE_4_length_1367_cov_2.97100.fasta	13450
RNODE_500_length_1680_cov_27.45896.fasta	16360
RNODE_501_length_1656_cov_38.89942.fasta	16120
RNODE_502_length_2205_cov_11.49694.fasta	21390
RNODE_503_length_17293_cov_6.40561.fasta	172050
RNODE_504_length_4144_cov_7.77525.fasta	40780
RNODE_505_length_8295_cov_9.15006.fasta	82070
RNODE_506_length_4092_cov_6.23826.fasta	40480
RNODE_507_length_1987_cov_46.05898.fasta	19430
RNODE_508_length_1879_cov_11.34540.fasta	18350
RNODE_510_length_1545_cov_4.91248.fasta	15010
RNODE_511_length_2859_cov_7.60477.fasta	28150
RNODE_514_length_7618_cov_5.62957.fasta	75300
RNODE_516_length_4468_cov_33.78336.fasta	44240
RNODE_517_length_2527_cov_12.78156.fasta	24830
RNODE_519_length_4527_cov_27.40475.fasta	44830
RNODE_51_length_2136_cov_5.31315.fasta	21140
RNODE_520_length_3075_cov_27.97119.fasta	30310
RNODE_525_length_3666_cov_9.03954.fasta	35780
RNODE_526_length_2764_cov_10.07362.fasta	26760
RNODE_529_length_1514_cov_4.48325.fasta	14700
RNODE_52_length_1655_cov_3.75934.fasta	16330
RNODE_533_length_2589_cov_10.83519.fasta	25450
RNODE_535_length_1698_cov_14.80778.fasta	16320
RNODE_536_length_2671_cov_5.65343.fasta	26270
RNODE_538_length_1336_cov_10.45341.fasta	12920
RNODE_53_length_5801_cov_10.05503.fasta	57790
RNODE_541_length_5933_cov_6.74656.fasta	58890
RNODE_542_length_2159_cov_35.95760.fasta	21150
RNODE_543_length_8600_cov_5.33630.fasta	85560
RNODE_545_length_2037_cov_103.39869.fasta	19930
RNODE_546_length_1712_cov_11.02048.fasta	16680
RNODE_547_length_3725_cov_47.04079.fasta	36810
RNODE_548_length_4577_cov_9.61395.fasta	44890
RNODE_549_length_12275_cov_6.55509.fasta	122310
RNODE_550_length_2556_cov_54.05540.fasta	24460
RNODE_552_length_2139_cov_25.28849.fasta	20950
RNODE_553_length_2015_cov_11.90704.fasta	19710
RNODE_554_length_6559_cov_5.96604.fasta	64930
RNODE_555_length_2155_cov_6.40249.fasta	21110
RNODE_556_length_34387_cov_8.27811.fasta	343430
RNODE_558_length_8065_cov_7.29220.fasta	79770
RNODE_561_length_1583_cov_3.83769.fasta	15390
RNODE_566_length_1455_cov_10.94416.fasta	14110
RNODE_567_length_2043_cov_21.53474.fasta	19550
RNODE_568_length_4215_cov_4.24868.fasta	41710
RNODE_569_length_1759_cov_4.34949.fasta	16930
RNODE_570_length_2044_cov_6.96707.fasta	19560
RNODE_571_length_1509_cov_5.57472.fasta	14650
RNODE_572_length_1964_cov_10.71878.fasta	18980
RNODE_573_length_3100_cov_6.78384.fasta	30120
RNODE_574_length_2604_cov_12.49740.fasta	25600
RNODE_575_length_2552_cov_5.49684.fasta	25080
RNODE_577_length_7056_cov_38.11425.fasta	70120
RNODE_578_length_7436_cov_10.94682.fasta	73700
RNODE_579_length_8791_cov_4.68076.fasta	87030
RNODE_57_length_1642_cov_4.22716.fasta	16200
RNODE_580_length_4156_cov_8.38751.fasta	41120
RNODE_581_length_1595_cov_4.44509.fasta	15290
RNODE_582_length_6266_cov_6.90437.fasta	61780
RNODE_586_length_6115_cov_7.69537.fasta	60710
RNODE_588_length_1894_cov_3.77861.fasta	18500
RNODE_589_length_1668_cov_40.93320.fasta	16240
RNODE_58_length_3492_cov_8.06052.fasta	34700
RNODE_590_length_2199_cov_166.16738.fasta	21550
RNODE_591_length_3620_cov_70.16410.fasta	35760
RNODE_592_length_3754_cov_6.59927.fasta	37100
RNODE_593_length_8426_cov_4.28144.fasta	83820
RNODE_594_length_1666_cov_5.29552.fasta	16220
RNODE_595_length_1522_cov_10.57355.fasta	14780
RNODE_596_length_1535_cov_4.05353.fasta	14910
RNODE_597_length_13838_cov_20.78765.fasta	137940
RNODE_598_length_2095_cov_11.12130.fasta	20510
RNODE_599_length_1516_cov_6.51991.fasta	14720
RNODE_59_length_7149_cov_6.99495.fasta	71270
RNODE_61_length_7669_cov_5.82281.fasta	76470
RNODE_63_length_9116_cov_7.17902.fasta	90940
RNODE_64_length_2498_cov_2.19628.fasta	24760
RNODE_66_length_2707_cov_5.26741.fasta	26850
RNODE_69_length_2867_cov_5.28717.fasta	28450
RNODE_6_length_1955_cov_9.45784.fasta	19330
RNODE_70_length_1980_cov_24.25332.fasta	19580
RNODE_71_length_2272_cov_3.05244.fasta	22500
RNODE_72_length_2497_cov_7.54950.fasta	24750
RNODE_75_length_1697_cov_2.91164.fasta	16750
RNODE_76_length_3393_cov_4.30851.fasta	33710
RNODE_77_length_2624_cov_7.14989.fasta	26020
RNODE_79_length_2421_cov_3.19008.fasta	23990
RNODE_7_length_4555_cov_11.97220.fasta	45330
RNODE_80_length_5133_cov_7.08687.fasta	51110
RNODE_81_length_1318_cov_3.55864.fasta	12960
RNODE_82_length_2481_cov_3.36397.fasta	24590
RNODE_83_length_6134_cov_3.71057.fasta	61120
RNODE_84_length_1477_cov_11.65155.fasta	14550
RNODE_85_length_1577_cov_8.00900.fasta	15550
RNODE_86_length_2125_cov_11.11507.fasta	21030
RNODE_87_length_5673_cov_23.00212.fasta	56510
RNODE_88_length_5256_cov_29.93752.fasta	52340
RNODE_8_length_2730_cov_5.02585.fasta	27080
RNODE_92_length_2810_cov_4.09613.fasta	27880
RNODE_95_length_4335_cov_11.95711.fasta	43130
RNODE_96_length_2623_cov_16.26144.fasta	26010
RNODE_97_length_2902_cov_3.95799.fasta	28800
RNODE_99_length_1369_cov_5.25687.fasta	13470
RNODE_9_length_1992_cov_4.69492.fasta	19700
Rhizoctonia_solani_Rhisola1.fasta	39822884
Rhizopycnis_vagum_MPI-FR1-AT-0346.contigs.fasta	53344606
Sarocladium_strictum_MPI-IT2-AT-0306.contigs.fasta	31483859
Sarocladium_strictum_MPI-SWE4-AT-0554.contigs.fasta	34794780
Sporobolomyces_sasicola_MPI-IT2-AT-0310.contigs.fasta	60772292
Talaromyces_verruculosus_MPI-SP2-AT-0411.contigs.fasta	32407473
Truncatella_angustata_MPI-SW4-AT-0541.contigs.fasta	58029377
Tulasnella_calospora_Tulcal1.fasta	70372952
Umbelopsis_autotrophica_MPI-SW4-AT-0611.contigs.fasta	27968122
Verticillium_dahliae_MPI-FR1-AT-0353.contigs.fasta	36758448
